EnsemblID	patMutRate	matMutRate	pat_quant	mat_quant	male_CPM_log2geoMean	female_CPM_log2geoMean
ENSG00000119640	0	0	3	3	2.91617226956694	3.78667136018762
ENSG00000170634	3.59302952272591e-05	1.79651476136296e-05	3	3	3.68566531800869	3.43178209464158
ENSG00000196839	7.42699266213125e-05	1.48539853242625e-05	2	3	2.32871361271568	3.37083648272174
ENSG00000164113	3.93615555686761e-05	0	2	2	2.25348276305699	2.61980496172782
ENSG00000140955	0.000165864985901476	0	2	3	2.50954684051152	3.23513219575979
ENSG00000168803	8.37661249790585e-05	0	4	3	4.94294202895449	4.30786840320321
ENSG00000137845	1.86712307452933e-05	2.48949743270577e-05	4	4	4.86744098497047	4.82489489834702
ENSG00000073670	4.38346556787796e-05	0	1	2	0.384265843103444	0.889831580390646
ENSG00000148848	4.80126753462914e-05	8.00211255771524e-06	1	1	0.352394328728241	0.535164478047679
ENSG00000143537	0	0	3	3	3.2150313660112	3.9317267859331
ENSG00000151694	2.93940418277215e-05	1.46970209138608e-05	3	3	3.41055868841729	4.07976519470184
ENSG00000168619	1.37485392177081e-05	2.06228088265622e-05	1	1	0.369228775691707	0.70314946418342
ENSG00000135074	7.23375604435962e-05	5.56442772643048e-06	1	1	0.313651461638092	0.32588322024582
ENSG00000104755	4.23522436101052e-05	1.05880609025263e-05	1	1	0.0618389070879883	0.00763506950922759
ENSG00000134007	0	0	1	1	0.10379640698815	0.0935784200730161
ENSG00000139985	7.02609021499836e-05	0	1	1	0.140051406699178	0.0991998883660357
ENSG00000008277	1.11703969586733e-05	1.11703969586733e-05	2	3	2.39983522474463	3.03410356904518
ENSG00000114948	4.50615371616864e-05	5.6326921452108e-06	3	3	4.44915337743723	4.00867811632821
ENSG00000042980	0	3.08242401824795e-05	1	1	0.249136545937495	0.251257701180611
ENSG00000168594	8.8240285083998e-05	2.71508569489224e-05	1	1	0.0299620030324964	0.0241963832802828
ENSG00000134249	0	0	1	1	0	0.0278700485715483
ENSG00000197140	4.5012097001069e-05	5.62651212513363e-06	2	2	2.19275478601568	1.80684821973214
ENSG00000149451	7.00280112044818e-05	0	1	1	0.356932223315792	0.395286314051225
ENSG00000069206	6.97885407216135e-05	2.32628469072045e-05	1	1	0.0597591178892541	0
ENSG00000151651	0	0	2	2	1.38328750780005	1.37368516441833
ENSG00000168615	4.6080401083811e-05	0	2	2	1.93260449354584	2.22240671455851
ENSG00000134028	0	0	1	1	0.133738302489529	0
ENSG00000154734	0.000103605470368835	0	2	2	1.38671491644893	2.30293454782296
ENSG00000142303	6.5720294426919e-05	0	1	1	0.259537584893356	0.340659931482063
ENSG00000151388	4.61882469930093e-05	1.35847785273557e-05	3	3	4.13322712456073	3.22801135348598
ENSG00000160323	8.90115269927456e-05	0	1	2	0.385438213036048	0.937229802282843
ENSG00000138316	0.000135671403859851	5.65297516082714e-05	1	1	0.125869007445358	0.116311643329568
ENSG00000166106	0.000107376785139053	0	1	1	0.0510374304544038	0.353541137883829
ENSG00000145536	8.34989395634675e-05	1.11331919417957e-05	1	1	0.231730413762984	0.404918143146519
ENSG00000140470	6.23193078763477e-05	2.98048863756445e-05	2	2	0.898900573925411	1.74038942080734
ENSG00000140873	5.88210130047912e-05	0.00010159993155373	1	1	0.164563532298635	0.248737418704027
ENSG00000145808	2.16039492019141e-05	3.60065820031902e-06	2	2	1.18888037347777	1.6210559133669
ENSG00000087116	5.16302243333247e-05	2.15125934722186e-05	2	2	0.891636332180463	1.37478960365637
ENSG00000173157	4.60200340548252e-05	0	1	1	0.289360630894556	0.630411526472512
ENSG00000156140	3.13761583031774e-05	0	2	2	1.04987980058723	2.12083486096914
ENSG00000158859	0.00020344500203445	6.781500067815e-05	1	1	0.068879713560797	0.154527899614063
ENSG00000154736	0	0	2	1	0.726905423937229	0.447420717717768
ENSG00000049192	3.62091440158355e-05	6.03485733597258e-06	2	2	1.29295264549466	1.25191069303575
ENSG00000136378	3.83398830633567e-05	1.91699415316783e-05	2	2	0.722746182483345	1.71730889751134
ENSG00000134917	4.2247570764681e-05	0	2	2	1.19200214722657	0.884643832730104
ENSG00000163638	5.80706603795498e-05	4.06494622656849e-05	1	1	0.146570566464428	0.507049175369694
ENSG00000178031	5.79134772649661e-05	3.29507715473083e-05	1	1	0.381171781233498	0.35529581396715
ENSG00000197859	0	0	2	1	0.756071530237344	0.591310744999384
ENSG00000156218	5.96983933345446e-05	2.0764658551146e-05	3	3	3.36659153811214	3.44546675785783
